city,year,weekofyear,total_cases
iq,2013,15,47
iq,2013,16,3
iq,2013,17,13
iq,2013,18,55
iq,2013,19,34
iq,2013,20,30
iq,2013,21,0
iq,2013,22,29
iq,2013,23,27
iq,2013,24,29
iq,2013,25,20
iq,2013,26,28
